2025-04-02 22:06:11,010 - INFO - 开始第 1 轮浏览(5个帖子)...
2025-04-02 22:06:11,013 - INFO - 开始浏览5篇帖子...
2025-04-02 22:06:34,315 - INFO - 获取到评论 - 用户: 六一不是猪咪, 内容: 大哥，你下一次评论三条这是发生了什么搞得你怎么愤怒
2025-04-02 22:06:34,339 - INFO - 获取到评论 - 用户: 阿哈哈哈哈, 内容: 姐妹 你是付完定金立刻拉群吗 我约明天到现在还没拉群也不回复信息
2025-04-02 22:06:34,363 - INFO - 获取到评论 - 用户: 六一不是猪咪, 内容: 拉群好像是出发前一天，最开始是和客服咨询，然后确定了是付全款诶
2025-04-02 22:06:34,387 - INFO - 获取到评论 - 用户: 渔子, 内容: 常州到青海
2025-04-02 22:06:34,415 - INFO - 获取到评论 - 用户: 六一不是猪咪, 内容: 姐妹可以自己斯他们哈，我也不清楚这个
2025-04-02 22:06:34,441 - INFO - 获取到评论 - 用户: ini., 内容: 厦门到甘肃平凉
2025-04-02 22:06:34,467 - INFO - 获取到评论 - 用户: 六一不是猪咪, 内容: 姐妹，你问问他们官方的人哈，可能小贵
2025-04-02 22:06:51,047 - INFO - 获取到评论 - 用户: 达浪在冲浪\U0001f3c4, 内容: 说真的 冲着博主推荐我去问了 。然后说没有直营路线之后就不回我消息了 。见仁见智吧。我觉得这种出了售后也不会有很好是解决的
2025-04-02 22:06:51,080 - INFO - 获取到评论 - 用户: miru想找喵, 内容: 他能直接告诉你这条路线没自营，已经好过大部分骗子托运了。。。
2025-04-02 22:06:51,120 - INFO - 获取到评论 - 用户: 我还以为我是你的骄傲, 内容: 大家可以看看我的置顶笔记吗，商家对我和我的猫进行威胁就是宠物搭车的商家
2025-04-02 22:06:51,258 - INFO - 获取到评论 - 用户: M!ss Puff, 内容: 这不是宠物搭车自营的啊，客服头像就不对
2025-04-02 22:06:51,297 - INFO - 获取到评论 - 用户: 平面鸟, 内容: 我也选了它家的头等舱，我家宝宝还没有坐过这么远的车请问你有没有给宝宝们喂药防应激哇
2025-04-02 22:06:51,330 - INFO - 获取到评论 - 用户: M!ss Puff, 内容: 我没喂，他们把猫放进头等舱的时候，会先喷防应激喷雾
2025-04-02 22:06:51,355 - INFO - 获取到评论 - 用户: 深海脆脆鲨, 内容: 三只1580吗？
2025-04-02 22:06:51,379 - INFO - 获取到评论 - 用户: M!ss Puff, 内容: 是的
2025-04-02 22:06:51,401 - INFO - 获取到评论 - 用户: 喵咔互动相机-杭州, 内容: 姐妹 我的一只杭州到成都 也是她们家 \u2795了摄像头和头等舱 要一千七了
2025-04-02 22:06:51,423 - INFO - 获取到评论 - 用户: M!ss Puff, 内容: 你的距离比我远一丢丢，我的一千七百多公里，然后我三只是1480，头等舱加了100，送了单独摄像头，你去谈谈价呢，一千七我也觉得有点贵了（1300-1500吧，我觉得）
2025-04-02 22:06:51,447 - INFO - 获取到评论 - 用户: 李别别啦, 内容: 他家客服根本不回消息啊
2025-04-02 22:06:51,476 - INFO - 获取到评论 - 用户: M!ss Puff, 内容: 也没回我
2025-04-02 22:06:51,508 - INFO - 获取到评论 - 用户: iu7-7, 内容: 这个贵不
2025-04-02 22:06:51,532 - INFO - 获取到评论 - 用户: M!ss Puff, 内容: 图三有距离，图六有价格
2025-04-02 22:06:51,555 - INFO - 获取到评论 - 用户: 小肥羊回家, 内容: 今天看到帖子去问了 两只猫让我放一个箱子一千公里问我要2300
2025-04-02 22:06:51,583 - INFO - 获取到评论 - 用户: M!ss Puff, 内容: 贵得离谱
2025-04-02 22:06:51,613 - INFO - 获取到评论 - 用户: 时光是个宝宝, 内容: 小姐姐，你三只1700公里真的才一千五百多啊？
2025-04-02 22:06:51,647 - INFO - 获取到评论 - 用户: M!ss Puff, 内容: 为啥你会质疑？
2025-04-02 22:06:51,680 - INFO - 获取到评论 - 用户: 春泥, 内容: 为什么我的是其他商家给我报价，不是宠物搭车自己的车，好奇怪
2025-04-02 22:06:51,713 - INFO - 获取到评论 - 用户: M!ss Puff, 内容: 因为他自营平台目前没法自己下单，平台里面发表行程是第三方给你报价，自营需要加他们客服的微信
2025-04-02 22:07:09,181 - INFO - 获取到评论 - 用户: 阿悦有点恋爱脑, 内容: 安徽到成都
2025-04-02 22:07:09,207 - INFO - 获取到评论 - 用户: 宠物搭车, 内容: si
2025-04-02 22:07:09,231 - INFO - 获取到评论 - 用户: Aky不吃香菜, 内容: 河南到北京
2025-04-02 22:07:09,262 - INFO - 获取到评论 - 用户: 宠物搭车, 内容: 后台滴滴
2025-04-02 22:07:09,281 - INFO - 获取到评论 - 用户: 抱着柚子的小羊, 内容: 上海到福建
2025-04-02 22:07:09,304 - INFO - 获取到评论 - 用户: 宠物搭车, 内容: 丝
2025-04-02 22:07:09,324 - INFO - 获取到评论 - 用户: 待续, 内容: 湛江到安陆
2025-04-02 22:07:09,348 - INFO - 获取到评论 - 用户: 宠物搭车, 内容: 丝我
2025-04-02 22:07:09,370 - INFO - 获取到评论 - 用户: 不上镜但上进的我, 内容: 杭州到安徽安庆
2025-04-02 22:07:09,395 - INFO - 获取到评论 - 用户: 宠物搭车, 内容: 踢踢我哦
2025-04-02 22:07:09,415 - INFO - 获取到评论 - 用户: 小十超酷, 内容: 武汉到深圳
2025-04-02 22:07:09,450 - INFO - 获取到评论 - 用户: 宠物搭车, 内容: 丝
2025-04-02 22:07:09,496 - INFO - 获取到评论 - 用户: Hygge., 内容: 成都到重庆
2025-04-02 22:07:09,530 - INFO - 获取到评论 - 用户: 宠物搭车, 内容: 斯
2025-04-02 22:07:09,569 - INFO - 获取到评论 - 用户: 不另加糖, 内容: 北京到上海
2025-04-02 22:07:09,609 - INFO - 获取到评论 - 用户: 宠物搭车, 内容: si
2025-04-02 22:07:09,654 - INFO - 获取到评论 - 用户: 是林米娅啊啊啊啊啊！, 内容: 福清到广州
2025-04-02 22:07:09,689 - INFO - 获取到评论 - 用户: 宠物搭车, 内容: 踢踢我哦
2025-04-02 22:07:09,723 - INFO - 获取到评论 - 用户: 南, 内容: 杭州到哈尔滨
2025-04-02 22:07:09,764 - INFO - 获取到评论 - 用户: 宠物搭车, 内容: 宝子您后台踢踢我哦
2025-04-02 22:07:26,226 - INFO - 获取到评论 - 用户: 揭秘宠物托运, 内容: 一看就是自己抬高自己，宠物搭车做的丧良心的还少啊，我的账号都拉黑了
2025-04-02 22:07:26,254 - INFO - 获取到评论 - 用户: 旅梦若为寧, 内容: 你要有他们丧良心的证据你就直接找官方，把证据贴出来，我就一个前员工，分享一下自己经历，阴阳怪气啥呢
2025-04-02 22:07:26,280 - INFO - 获取到评论 - 用户: 揭秘宠物托运, 内容: 
2025-04-02 22:07:26,303 - INFO - 获取到评论 - 用户: Kiran, 内容: 有啊为什么说没有 我自己就用了的
2025-04-02 22:07:26,339 - INFO - 获取到评论 - 用户: Djdbrhdhbd, 内容: 我前两天还想应聘呢，就刷到帖子了哈哈哈
2025-04-02 22:07:26,378 - INFO - 获取到评论 - 用户: 胖达, 内容: 你去了吗姐妹？
2025-04-02 22:07:26,406 - INFO - 获取到评论 - 用户: lucky., 内容: 我今天早上托运的要到明天下午或者晚上才能到 全程监控 全程GPS 而且到服务区遛狗也会发视频 真的很好 不是托 别来找骂
2025-04-02 22:07:26,430 - INFO - 获取到评论 - 用户: AKKO减肥ing, 内容: 是什么平台呀
2025-04-02 22:07:26,457 - INFO - 获取到评论 - 用户: RURU FARM宠物农场-大林子, 内容: 来我这创业啊
2025-04-02 22:07:26,483 - INFO - 获取到评论 - 用户: 旅梦若为寧, 内容: 做啥的呀哥们
2025-04-02 22:07:26,509 - INFO - 获取到评论 - 用户: 揭秘宠物托运, 内容: 
2025-04-02 22:07:26,539 - INFO - 获取到评论 - 用户: 帕ovo帕, 内容: 这是宠哒哒顺风车平台，跟你打顺风车带宠物一样的，有监控那个厢车是人家自营
2025-04-02 22:07:26,565 - INFO - 获取到评论 - 用户: 总掉链子, 内容: 我觉得挺好的 在软件上面也可以看监控 会实时更新位置信息
2025-04-02 22:07:26,585 - INFO - 获取到评论 - 用户: 小雯超级困, 内容: 你好这个怎么联系呀
2025-04-02 22:07:26,605 - INFO - 获取到评论 - 用户: 熬夜大王, 内容: 郑州的公司吗？
2025-04-02 22:07:26,631 - INFO - 获取到评论 - 用户: 旅梦若为寧, 内容: 嗯嗯呢
2025-04-02 22:07:26,658 - INFO - 获取到评论 - 用户: 看到我请提醒我戒糖, 内容: 宠物搭车还行啊，我用着没啥问题
2025-04-02 22:07:26,686 - INFO - 获取到评论 - 用户: 小红薯63F9E382, 内容: 你用的哪个平台呀
2025-04-02 22:07:26,712 - INFO - 获取到评论 - 用户: 铲屎官小明, 内容: 哇塞，原来宠物搭车的工作这么有趣啊！看来养宠物真的要有优势哦，不过请问，照顾宠物的同时还有没有顺便帮忙撩动主人的心呢？期待你的答复哦！#宠物搭车 #宠物托运 #宠物出行 #带宠物回家
2025-04-02 22:07:26,732 - INFO - 获取到评论 - 用户: 旅梦若为寧, 内容: 啊，什么意思啊宝子
2025-04-02 22:07:39,768 - INFO - 已获取 1 篇笔记的评论
2025-04-02 22:07:45,376 - INFO - 开始第 2 轮浏览(5个帖子)...
2025-04-02 22:07:45,377 - INFO - 开始浏览5篇帖子...
